dataset,landmark,metodo,x_min,y_min,x_max,y_max,ancho,alto,area,area_porcentaje,ratio_aspecto,densidad_promedio,centro_x,centro_y,cobertura_densidad,distancia_centro_real
entrenamiento,landmark_01,minmax,83,0,205,145,123,146,17958,20.08702363508238,0.8424657534246576,0.03617863199547767,144.0,72.5,100.0,34.11674059393579
entrenamiento,landmark_02,minmax,93,121,215,298,123,178,21894,24.489658952360713,0.6910112359550562,0.029637862369176624,154.0,209.5,100.0,26.797895030226258
entrenamiento,landmark_03,minmax,0,18,131,163,132,146,19272,21.55680585228353,0.9041095890410958,0.033693077125559356,65.5,90.5,100.0,4.048509705580767
entrenamiento,landmark_04,minmax,149,37,289,173,141,137,19317,21.607140859721927,1.0291970802919708,0.03361344537815126,219.0,105.0,100.0,24.227144509823148
entrenamiento,landmark_05,minmax,0,51,117,191,118,141,16638,18.610530083556114,0.8368794326241135,0.03911782661782662,58.5,121.0,100.0,17.827899254007328
entrenamiento,landmark_06,minmax,163,74,298,201,136,128,17408,19.4718179886131,1.0625,0.037328667249927096,230.5,137.5,100.0,17.912346982306737
entrenamiento,landmark_07,minmax,0,79,121,243,122,165,20130,22.516526660775607,0.7393939393939394,0.032276758718000405,60.5,161.0,100.0,30.420862452063915
entrenamiento,landmark_08,minmax,167,102,298,247,132,146,19272,21.55680585228353,0.9041095890410958,0.033693077125559356,232.5,174.5,100.0,25.837260358223038
entrenamiento,landmark_09,minmax,88,32,201,168,114,137,15618,17.469603248285814,0.8321167883211679,0.041644976574700676,144.5,100.0,100.0,12.946613449500632
entrenamiento,landmark_10,minmax,88,60,196,196,109,137,14933,16.703392579501347,0.7956204379562044,0.04357298474945534,142.0,128.0,100.0,11.764714127797115
entrenamiento,landmark_11,minmax,88,88,205,243,118,156,18408,20.590373709466338,0.7564102564102564,0.03529087400055142,146.5,165.5,100.0,21.04354924765489
entrenamiento,landmark_12,minmax,27,0,173,140,147,141,20727,23.18430442612499,1.0425531914893618,0.031396771037182,100.0,70.0,100.0,31.734548270056425
entrenamiento,landmark_13,minmax,116,0,266,145,151,146,22046,24.659679421930402,1.0342465753424657,0.02947126436781609,191.0,72.5,100.0,34.32161201265133
entrenamiento,landmark_14,minmax,0,107,126,298,127,192,24384,27.27486269728526,0.6614583333333334,0.026666251142690934,63.0,202.5,100.0,42.075627538223976
entrenamiento,landmark_15,minmax,167,130,298,298,132,169,22308,24.95274102079395,0.7810650887573964,0.029080334423845874,232.5,214.0,100.0,36.05592680799714
