indice,COVID_ID,categoria,min_coord,max_coord,media_coord,desviacion_std,coordenadas_fuera_rango
8,COVID-3519,COVID,37.38,252.28,146.22899999999998,69.24317768319611,0
510,Normal-3173,Normal,9.34,252.28,137.042,79.04760757079664,0
175,Viral Pneumonia-761,Viral Pneumonia,14.02,261.62,140.46733333333336,76.7931956158154,0
735,Viral Pneumonia-707,Viral Pneumonia,32.7,284.98,153.08133333333336,80.78108993790289,0
242,Viral Pneumonia-1327,Viral Pneumonia,28.03,266.3,143.42666666666668,77.68164400651904,0
764,Viral Pneumonia-993,Viral Pneumonia,14.02,266.3,148.25466666666665,79.83202806448605,0
540,Normal-4507,Normal,28.03,261.62,142.80266666666665,74.02292829177247,0
430,COVID-2072,COVID,23.36,284.98,142.64800000000002,78.0603961643376,0
84,Normal-10078,Normal,0.0,261.62,131.59066666666666,74.85689596081906,0
642,Normal-9298,Normal,42.05,275.64,160.08833333333334,72.82701605326298,0
255,Viral Pneumonia-856,Viral Pneumonia,0.0,284.98,128.00900000000001,91.87951437797946,0
111,Normal-4484,Normal,14.02,261.62,127.07499999999999,75.9690288099916,0
289,Viral Pneumonia-889,Viral Pneumonia,32.7,261.62,146.54,73.67594659498218,0
349,Normal-2007,Normal,14.02,228.92,120.22233333333334,66.68248369116303,0
703,Viral Pneumonia-335,Viral Pneumonia,4.67,270.97,117.41966666666666,80.42122433302183,0
521,Normal-3691,Normal,18.69,256.95,133.61666666666667,72.10002641392643,0
437,COVID-2606,COVID,32.7,261.62,136.72966666666667,67.66901637053368,0
565,Normal-5829,Normal,37.38,252.28,140.46766666666664,70.11794124584347,0
224,Normal-3720,Normal,51.39,256.95,155.41666666666663,67.06409652132966,0
371,COVID-642,COVID,28.03,270.97,140.0,70.90888016790751,0
301,Normal-3805,Normal,37.38,266.3,149.50066666666666,76.56664517196042,0
537,Normal-4448,Normal,14.02,270.97,145.608,79.92343116591863,0
341,Normal-1891,Normal,18.69,228.92,118.97700000000002,65.36959324487188,0
135,Normal-8732,Normal,18.69,270.97,143.89433333333332,75.42195457041818,0
708,Viral Pneumonia-401,Viral Pneumonia,42.05,270.97,160.24533333333335,72.86788738227256,0
47,COVID-2358,COVID,42.05,275.64,163.20466666666667,70.05645122486739,0
666,Normal-10105,Normal,23.36,252.28,131.28033333333335,72.84095063828374,0
60,COVID-2657,COVID,18.69,256.95,141.871,75.8168754016325,0
741,Viral Pneumonia-745,Viral Pneumonia,4.67,294.33,152.14666666666665,92.9040163944607,0
117,Normal-6322,Normal,32.7,252.28,146.853,67.083270947383,0
329,Normal-551,Normal,18.69,289.66,143.27033333333333,81.3877852212617,0
396,COVID-2536,COVID,4.67,214.91,100.13400000000001,63.95141362002876,0
19,COVID-2169,COVID,18.69,284.98,139.22133333333335,77.44930530066462,0
558,Normal-5329,Normal,28.03,261.62,136.57466666666667,67.73009246183626,0
81,Normal-2258,Normal,32.7,275.64,140.9343333333333,75.62152412654892,0
73,COVID-2638,COVID,51.39,252.28,145.9176666666667,64.54108793026519,0
641,Normal-9248,Normal,42.05,233.59,133.77200000000002,55.743595291297815,0
676,Viral Pneumonia-95,Viral Pneumonia,37.38,252.28,143.42833333333334,71.344608256141,0
731,Viral Pneumonia-675,Viral Pneumonia,32.7,294.33,156.97466666666665,80.33895118945865,0
756,Viral Pneumonia-901,Viral Pneumonia,51.39,242.94,147.78699999999998,63.41391982575015,0
257,COVID-3090,COVID,28.03,275.64,137.66466666666665,73.86606377912811,0
661,Normal-9934,Normal,37.38,261.62,141.558,71.15011690784492,0
760,Viral Pneumonia-943,Viral Pneumonia,37.38,280.31,154.95100000000002,80.99068482856532,0
65,COVID-3321,COVID,37.38,252.28,148.0993333333333,70.36944061799049,0
439,COVID-2829,COVID,46.72,261.62,163.20266666666663,70.09738192606689,0
590,Normal-7192,Normal,14.02,252.28,112.12500000000001,68.59850055455537,0
638,Normal-9174,Normal,9.34,242.94,118.19833333333334,72.29771034103054,0
361,COVID-18,COVID,42.05,270.97,155.57400000000004,70.49358678158839,0
643,Normal-9309,Normal,28.03,270.97,154.17133333333334,79.97755734093299,0
772,Viral Pneumonia-1100,Viral Pneumonia,37.38,242.94,140.46900000000002,66.80260735180926,0
436,COVID-2542,COVID,18.69,242.94,140.157,74.34094067874041,0
538,Normal-4470,Normal,23.36,280.31,134.70533333333333,77.58681721071493,0
670,Viral Pneumonia-64,Viral Pneumonia,18.69,289.66,148.72133333333335,85.20231447299747,0
617,Normal-8317,Normal,42.05,270.97,137.82,66.73544890086528,0
273,Normal-1588,Normal,28.03,256.95,135.32866666666666,75.65427252677509,0
382,COVID-1137,COVID,14.02,270.97,147.00833333333333,69.96076801004658,0
294,COVID-3593,COVID,14.02,284.98,130.656,80.29965515077468,0
194,Viral Pneumonia-80,Viral Pneumonia,18.69,280.31,153.23700000000002,85.14442624740623,0
725,Viral Pneumonia-623,Viral Pneumonia,28.03,289.66,157.5976666666667,78.46279312231725,0
85,Normal-395,Normal,28.03,294.33,161.64633333333333,84.47051207308316,0
493,Normal-2299,Normal,18.69,289.66,142.33599999999998,79.40973188050275,0
464,Normal-789,Normal,18.69,261.62,141.40200000000002,78.9710880597028,0
101,Normal-7635,Normal,32.7,270.97,145.29466666666667,74.77267806417589,0
449,COVID-3492,COVID,51.39,266.3,147.63033333333334,68.90112193006891,0
233,Normal-1088,Normal,23.36,266.3,141.55800000000002,70.23548800997969,0
262,Normal-4297,Normal,18.69,266.3,138.60000000000002,77.07181391403734,0
185,Viral Pneumonia-1057,Viral Pneumonia,32.7,266.3,148.41,77.9306300500644,0
202,Viral Pneumonia-1043,Viral Pneumonia,28.03,261.62,138.44333333333333,77.38542336182499,0
775,Viral Pneumonia-1144,Viral Pneumonia,37.38,256.95,145.91933333333336,70.4377184910345,0
689,Viral Pneumonia-220,Viral Pneumonia,0.0,280.31,135.63966666666667,84.01952124291645,0
148,Normal-8879,Normal,32.7,270.97,143.42633333333333,76.1684595915892,0
522,Normal-3716,Normal,23.36,280.31,150.12233333333333,85.06365607329346,0
314,Normal-9419,Normal,28.03,247.61,123.33733333333336,62.232754287611456,0
443,COVID-3099,COVID,28.03,280.31,135.48466666666667,74.30039007225257,0
779,Viral Pneumonia-1199,Viral Pneumonia,23.36,266.3,146.85266666666666,80.22961393954785,0
120,Normal-7573,Normal,28.03,242.94,120.84599999999999,62.39779881801387,0
667,Normal-10111,Normal,18.69,275.64,133.772,73.68647236320473,0
59,COVID-421,COVID,9.34,294.33,155.26233333333337,80.79127278294908,0
370,COVID-605,COVID,0.0,289.66,154.48333333333332,89.79925683929065,0
3,COVID-1387,COVID,18.69,270.97,132.21433333333331,72.86818444668123,0
528,Normal-4120,Normal,32.7,261.62,142.647,71.94935219305314,0
16,COVID-3380,COVID,23.36,266.3,131.12333333333333,69.06313108711157,0
248,COVID-709,COVID,28.03,247.61,137.66400000000002,62.711125413810485,0
408,COVID-334,COVID,18.69,261.62,135.32833333333332,75.47020039209,0
355,Normal-2281,Normal,42.05,266.3,146.07433333333336,66.30037645359857,0
692,Viral Pneumonia-232,Viral Pneumonia,23.36,270.97,149.50033333333337,76.93664746544539,0
481,Normal-1582,Normal,23.36,266.3,145.607,83.78203933023673,0
675,Viral Pneumonia-93,Viral Pneumonia,32.7,261.62,147.3193333333333,74.27959598406251,0
56,COVID-720,COVID,0.0,280.31,127.23066666666665,85.38813398957856,0
778,Viral Pneumonia-1161,Viral Pneumonia,42.05,270.97,147.94233333333332,68.42046631836284,0
718,Viral Pneumonia-528,Viral Pneumonia,28.03,270.97,142.33666666666667,76.39390666509703,0
752,Viral Pneumonia-844,Viral Pneumonia,23.36,284.98,154.95066666666668,78.15725387249024,0
320,Normal-52,Normal,51.39,280.31,153.85966666666667,62.99166942188114,0
784,Viral Pneumonia-1220,Viral Pneumonia,32.7,275.64,153.86066666666665,82.33505360955861,0
23,COVID-1560,COVID,28.03,284.98,158.37600000000003,80.09107480862022,0
539,Normal-4498,Normal,32.7,256.95,149.656,69.09013338145084,0
69,COVID-94,COVID,32.7,284.98,160.71200000000002,80.57329414473094,0
187,Viral Pneumonia-207,Viral Pneumonia,28.03,261.62,136.57466666666667,71.81849593400173,0
556,Normal-5289,Normal,32.7,261.62,147.94233333333332,77.77670545363966,0
656,Normal-9797,Normal,23.36,294.33,144.67366666666666,78.633908567205,0
218,Normal-647,Normal,42.05,256.95,141.55800000000002,69.11671570129278,0
518,Normal-3580,Normal,37.38,252.28,136.1076666666667,67.11518097933498,0
577,Normal-6560,Normal,23.36,266.3,147.943,75.15170364669054,0
677,Viral Pneumonia-100,Viral Pneumonia,28.03,284.98,152.30266666666668,82.86097356147559,0
637,Normal-9112,Normal,28.03,256.95,142.804,79.59226003408455,0
241,Viral Pneumonia-1260,Viral Pneumonia,18.69,275.64,146.38500000000002,85.40070997948438,0
366,COVID-526,COVID,56.06,266.3,160.4006666666667,68.01634460105078,0
531,Normal-4284,Normal,32.7,256.95,141.40099999999998,73.11506772888882,0
90,Normal-30,Normal,28.03,252.28,143.4266666666667,74.22486476167464,0
201,Viral Pneumonia-1321,Viral Pneumonia,32.7,266.3,146.5413333333333,78.5328857542424,0
309,Normal-9898,Normal,37.38,252.28,141.87033333333332,70.13437499939351,0
339,Normal-1756,Normal,79.42,228.92,148.25366666666667,45.58315116234164,0
50,COVID-3263,COVID,9.34,256.95,135.48366666666666,80.10556591079605,0
268,Normal-7608,Normal,9.34,247.61,132.36933333333334,74.79165902395503,0
207,COVID-1970,COVID,28.03,252.28,147.32,73.32321169543334,0
658,Normal-9836,Normal,23.36,261.62,134.86066666666665,70.91084505364621,0
154,Normal-2575,Normal,37.38,252.28,144.82966666666667,71.21111619606091,0
504,Normal-2865,Normal,14.02,275.64,152.30233333333334,75.68470786463773,0
709,Viral Pneumonia-424,Viral Pneumonia,28.03,252.28,138.59833333333336,70.42309356469809,0
49,COVID-2174,COVID,28.03,270.97,131.43533333333335,72.17261155190535,0
238,Normal-9200,Normal,37.38,275.64,154.01633333333334,75.50065569178118,0
726,Viral Pneumonia-634,Viral Pneumonia,14.02,275.64,143.11533333333333,79.1779612322071,0
787,Viral Pneumonia-1255,Viral Pneumonia,23.36,252.28,142.0256666666667,75.15312553639329,0
445,COVID-3154,COVID,37.38,261.62,142.18033333333332,67.11494878109414,0
589,Normal-7178,Normal,28.03,270.97,145.139,83.96323502382853,0
550,Normal-5079,Normal,23.36,280.31,157.59800000000004,84.36996394452235,0
345,Normal-1943,Normal,56.06,280.31,158.99933333333334,65.9316859045954,0
415,COVID-902,COVID,18.69,275.64,134.08166666666668,77.54115342119233,0
463,Normal-599,Normal,18.69,289.66,140.1566666666667,84.24090484372121,0
61,COVID-1733,COVID,42.05,247.61,137.97633333333334,63.414911205663785,0
245,Viral Pneumonia-1092,Viral Pneumonia,23.36,261.62,143.42733333333334,76.95690923858335,0
763,Viral Pneumonia-989,Viral Pneumonia,4.67,284.98,148.877,86.24421024625363,0
358,Normal-2881,Normal,9.34,247.61,121.002,77.08320151628368,0
748,Viral Pneumonia-797,Viral Pneumonia,18.69,261.62,139.845,78.82274679092747,0
487,Normal-1979,Normal,18.69,266.3,129.87800000000001,74.37286612737202,0
716,Viral Pneumonia-501,Viral Pneumonia,46.72,289.66,158.065,76.3692343704802,0
